Date,SPX,GLD,USO,SLV,EUR/USD
9/14/2009,1049.339966,979.59999,35.709999,16.309999,1.467093
9/15/2009,1052.630005,989.00002,36.700001,16.780001,1.471194
9/16/2009,1068.76001,999.10004,37.43,17.139999,1.473297
9/17/2009,1065.48999,993.39996,37.490002,16.950001,1.471605
9/21/2009,1064.660034,983.60001,35.849998,16.540001,1.481196
9/22/2009,1071.660034,996.69998,36.98,16.879999,1.472602
9/23/2009,1060.869995,988.30002,35.130001,16.540001,1.465094
9/24/2009,1050.780029,975.50003,33.970001,15.99,1.468493
9/28/2009,1062.97998,970.50003,34.509998,15.91,1.459172
9/29/2009,1060.609985,974.3,34.310001,15.89,1.465502
9/30/2009,1057.079956,988.49998,36.189999,16.379999,1.451589
10/1/2009,1029.849976,978.89999,36.23,16.040001,1.459002
10/5/2009,1040.459961,998.2,36.18,16.379999,1.472169
10/6/2009,1054.719971,1022.79999,36.540001,17.08,1.471151
10/7/2009,1057.579956,1023.60001,35.959999,17.25,1.478131
10/8/2009,1065.47998,1036.39999,36.68,17.52,1.473405
10/12/2009,1076.189941,1035.59998,37.689999,17.48,1.484605
10/13/2009,1073.189941,1042.60002,38.150002,17.48,1.493206
10/14/2009,1092.02002,1041.8,38.610001,17.559999,1.495595
10/15/2009,1096.560059,1028.60001,39.91,17.059999,1.490802
10/19/2009,1097.910034,1042.30003,40.759998,17.440001,1.493451
10/20/2009,1091.060059,1034.19998,40.389999,17.200001,1.50069
10/21/2009,1081.400024,1037.5,41.330002,17.360001,1.504189
10/22/2009,1092.910034,1039.19998,41.470001,17.32,1.501006
10/26/2009,1066.949951,1018.60001,40.130001,16.790001,1.486171
10/27/2009,1063.410034,1018.49998,40.59,16.34,1.481701
10/28/2009,1042.630005,1007.30003,39.459999,15.86,1.4718
10/29/2009,1066.109985,1026.90002,40.900002,16.41,1.48401
10/30/2009,1036.189941,1025.29999,39.32,16.07,1.473297
11/2/2009,1042.880005,1039.49997,39.970001,16.16,1.47741
11/3/2009,1045.410034,1064.59999,40.619999,17,1.473101
11/4/2009,1046.5,1070.99998,40.990002,17.139999,1.4869
11/5/2009,1066.630005,1069.80003,40.799999,17.120001,1.487807
11/6/2009,1069.300049,1074.3,39.700001,17.09,1.484891
11/9/2009,1093.079956,1081.90002,40.5,17.290001,1.500803
11/10/2009,1093.01001,1083.89999,40.41,17.030001,1.498981
11/11/2009,1098.51001,1095.99998,40.549999,17.290001,1.498397
11/12/2009,1087.23999,1082.09999,39.27,16.92,1.485685
11/13/2009,1093.47998,1097.39998,39.119999,17.15,1.490891
11/16/2009,1109.300049,1116.29997,40.290001,18.01,1.498374
11/17/2009,1110.319946,1119.70001,40.48,18.129999,1.487697
11/18/2009,1109.800049,1122.5,40.669998,18.23,1.495394
11/19/2009,1094.900024,1123.00003,39.66,18.26,1.491625
11/20/2009,1091.380005,1129.40002,39.419998,18.219999,1.486392
11/23/2009,1106.23999,1142.90001,39.380001,18.27,1.4962
11/24/2009,1105.650024,1147.30003,38.580002,18.25,1.49667
